fecha,prediccion,CATEGORIA,PRODUCTO,tipo
2026-01-01 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-02 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-03 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-04 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-05 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-06 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-07 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-08 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-09 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-10 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-11 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-12 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-13 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-14 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-15 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-16 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2026-01-17 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
